DATA;HORA;MUSICA
01/08/2024;03:40;HUGO E GUILHERME  MAIARA E MARAISA - MORENA DE GOIANA
01/08/2024;03:40;ZÉ VAQUEIRO - UM DIA
01/08/2024;03:40;MURILO HUFF feat. WESLEY SAFADÃO - QUEM TÁ PEGANDO
01/08/2024;04:00;MAIARA E MARAISA - A CULPA É NOSSA
01/08/2024;04:00;LUANZINHO ft. NATANZINHO LIMA - NÃO APAGUEI
01/08/2024;04:00;HENRIQUE E JULIANO - SEM REDE
01/08/2024;04:00;MURILO HUFF - PINO DA GRANADA
01/08/2024;04:00;LUAN SANTANA - AMBIENTE ERRADO
01/08/2024;04:00;GUSTTAVO LIMA  MURILO HUFF - CEP NOVO
01/08/2024;04:00;GUSTAVO MIOTO  LEO SANTANA - ONDE TU VAI SENTAR
01/08/2024;04:20;JORGE E MATEUS - MEDIDA CERTA
01/08/2024;04:20;GUSTTAVO LIMA - VAI VIVER SUA VIDA
01/08/2024;04:20;ISRAEL & RODOLFFO - VOLTOU COM QUEM NÃO VOLTAVA
01/08/2024;04:20;ISRAEL & RODOLFFO  MARI FERNANDEZ - SEU BRILHO SUMIU
01/08/2024;04:20;MARILIA MENDONCA - TODO MUNDO VAI SOFRER
01/08/2024;04:20;SIMONE MENDES - CASO SEM NOME
01/08/2024;04:20;ALOK - HEAR ME NOW (REMIX)
01/08/2024;04:40;GUSTAVO MIOTO - FIM DO MUNDO
01/08/2024;04:40;MATHEUS & KAUAN - POSE
01/08/2024;04:40;GUILHERME E BENUTO feat MAIARA E MARAISA - CORPO SEXY
01/08/2024;04:40;ZÉ VAQUEIRO - MARAVILHOSA
01/08/2024;04:40;JORGE & MATEUS - SÓ VOCÊ E EU
01/08/2024;04:40;EDSON E HUDSON feat MATHEUS E KAUAN - QUE SORTE A NOSSA
01/08/2024;04:40;MATHEUS E KAUAN - VOCÊ NÃO VALE UMA LÁGRIMA
01/08/2024;05:00;YASMIN SANTOS - NEM A PAU ft. SIMONE MENDES
01/08/2024;05:00;IGUINHO E LULINHA - BOA MEMÓRIA (AMAR É DEIXAR IR)
01/08/2024;05:00;BRUNO ROSA feat CLAYTON E ROMÁRIO - CERVEJA E SOCORRO
01/08/2024;05:00;ZÉ NETO E CRISTIANO feat ANA CASTELA - FOI INTENSO
01/08/2024;05:00;HENRIQUE E JULIANO - CUIDA BEM DELA
01/08/2024;05:00;ISRAEL E RODOLFFO - NÃO DEIXOU DE SE ESQUEMA
01/08/2024;05:00;WESLEY SAFADÃO - VOU COMEÇAR A NÃO PRESTAR
01/08/2024;05:20;FELIPE & RODRIGO - GOSTA DE RUA
